species,flipper_length,count
Adelie,173,1
Adelie,175,1
Adelie,177,1
Adelie,179,4
Adelie,181,10
Adelie,183,5
Adelie,185,15
Adelie,187,17
Adelie,189,11
Adelie,191,29
Adelie,193,15
Adelie,195,14
Adelie,197,11
Adelie,199,8
Adelie,201,3
Adelie,203,3
Adelie,205,1
Adelie,HANDLE_THIS_BAD_VALUE_BY_ELIMINATING_THIS_ENTIRE_ROW!,555
Adelie,207,0
Adelie,209,1
Adelie,211,1
Adelie,213,0
Adelie,215,0
Adelie,217,0
Adelie,219,0
Adelie,221,0
Adelie,223,0
Adelie,225,0
Adelie,227,0
Adelie,229,0
Adelie,231,0
Gentoo,173,0
Gentoo,175,0
Gentoo,177,0
Gentoo,179,0
Gentoo,181,0
Gentoo,183,0
Gentoo,185,0
Gentoo,187,0
Gentoo,189,0
Gentoo,191,0
Gentoo,193,0
Gentoo,195,0
Gentoo,197,0
Gentoo,199,0
Gentoo,201,0
Gentoo,203,1
Gentoo,205,0
Gentoo,207,1
Gentoo,209,12
Gentoo,211,12
Gentoo,213,12
Gentoo,215,18
Gentoo,217,14
Gentoo,219,10
Gentoo,221,13
Gentoo,5,HANDLE_THIS_BAD_VALUE_BY_ELIMINATING_THIS_ENTIRE_ROW!
Gentoo,223,8
Gentoo,225,7
Gentoo,227,1
Gentoo,229,6
Gentoo,231,8
Chinstrap,173,0
Chinstrap,175,0
Chinstrap,177,0
Chinstrap,179,1
Chinstrap,181,2
Chinstrap,183,0
Chinstrap,185,1
Chinstrap,187,6
Chinstrap,189,2
Chinstrap,191,6
Chinstrap,193,7
Chinstrap,195,8
Chinstrap,197,9
Chinstrap,199,6
Chinstrap,201,7
Chinstrap,203,5
Chinstrap,205,2
Chinstrap,207,2
Chinstrap,209,0
Chinstrap,211,3
Chinstrap,213,1
Chinstrap,215,0
Chinstrap,217,0
Chinstrap,219,0
Chinstrap,221,0
Chinstrap,223,0
Chinstrap,225,0
Chinstrap,227,0
Chinstrap,229,0
Chinstrap,231,0
